RPM,Horsepower,Torque
"3,006",237 ,413 
"3,023",238 ,414 
"3,046",240 ,414 
"3,055",241 ,415 
None,243 ,415 
"3,087",244 ,415 
"3,102",246 ,416 
"3,118",247 ,416 
"3,135",249 ,417 
"3,153",250 ,417 
None,252 ,418 
"3,191",254 ,418 
"3,210",256 ,419 
"3,228",258 ,419 
"3,245",259 ,419 
"3,262",261 ,420 
"3,279",263 ,420 
"3,296",264 ,421 
"3,312",266 ,421 
"3,329",287 ,422 
"3,346",268 ,422 
"3,366",271 ,423 
"3,387",273 ,423 
"3,408",275 ,424 
None,277 ,424 
"3,448",273 ,425 
"3,465",281 ,425 
None,282 ,426 
"3,496",284 ,426 
None,285 ,426 
"3,527",287 ,427 
"3,544",288 ,427 
"3,583",280 ,428 
None,282 ,428 
"3,598",294 ,429 
"3,616",296 ,429 
"3,634",297 ,430 
,299 ,430 
"3,670",301 ,430 
"3,689",303 ,431 
"3,708",305 ,431 
"3,727",307 ,432 
"3,746",309 ,432 
"3,765",310 ,433 
"3,782",312 ,433 
"3,799",314 ,434 
"3,817",316 ,434 
"3,834",317 ,435 
,319 ,435 
None,321 ,435 
"3,891",323 ,436 
"3,905",325 ,436 
"3,924",327 ,437 
"3,938",328 ,437 
"3,955",330 ,438 
None,332 ,438 
"3,997",334 ,433 
4023,337 ,433 
"4,049",339 ,440 
4073,342 ,440 
"4,032",344 ,441 
"4,106",345 ,441 
"4,116",346 ,441 
412,347 ,442 
"4,137",348 ,442 
4148,349 ,442 
"4,161",351 ,442 
"4,179",353 ,443 
"4,208",355 ,443 
"4,239",359 ,444 
"4,265",362 ,445 
"4,232",364 ,445 
"4,305",366 ,446 
"4,323",367 ,446 
"4,332",368 ,446 
4342,383 ,447 
,371 ,447 
"4,365",372 ,447 
"4,386",374 ,447 
None,376 ,448 
4440,379 ,449 
"4,472",383 ,449 
"4,500",386 ,450 
"4,515",387 ,450 
None,389 ,451 
"4,546",380 ,451 
,382 ,451 
"4,569",393 ,451 
4579,394 ,452 
"4,530",395 ,452 
"4,603",396 ,452 
"4,623",398 ,452 
"4,648",401 ,453 
4677,404 ,453 
"4,705",407 ,454 
4728,403 ,454 
"4,743",4ll,455 
,412 ,455 
"4,770",414 ,455 
"4,791",416 ,456 
None,419 ,456 
"4,846",422 ,457 
"4,868",424 ,457 
"4,884",426 ,457 
4893,427 ,458 
None,427 ,458 
4913,423 ,458 
4926,430 ,458 
4945,432 ,458 
4g7,434 ,459 
4938,437 ,459 
"5,015",433 ,460 
"5,029","44, ",460 
"5,047",442 ,460 
"5,065",444 ,460 
"5,081",446 ,461 
"5,095",447 ,461 
OLL,443 ,461 
"5,135",451 ,461 
"5,167","3,

",462 
"5,202",458 ,462 
"5,230",461 ,463 
"5,248",463 ,463 
,464 ,463 
,464 ,463 
"5,260",464 ,463 
None,465 ,463 
"5,297",468 ,464 
"5,330",471 ,464 
"5,354",474 ,465 
"5,366",475 ,465 
"5,372",476 ,465 
"5,382",477 ,465 
"5,402",473 ,465 
"5,436",482 ,465 
"5,473",486 ,466 
"5,491",488 ,466 
"5,493",488 ,466 
None,483 ,466 
"5,516",480 ,466 
"5,548",483 ,467 
"5,587",487 ,467 
None,500 ,467 
"5,614",500 ,467 
"5,613",500 ,467 
"5,621",501 ,468 
"5,642",503 ,468 
"5,675",506 ,468 
"5,707",509 ,468 
"5,730",511 ,469 
"5,741",513 ,469 
None,513 ,469 
"5,755",514 ,469 
"5,786",516 ,469 
"5,818",520 ,469 
,523 ,469 
"5,874",526 ,470 
"5,879",526 ,470 
"5,882",526 ,470 
"5,890",527 ,470 
"5,906",529 ,470 
"5,924",530 ,470 
"5,935",532 ,470 
"5,942",532 ,470 
"5,946",533 ,470 
,534 ,470 
"6,000",537 ,470 
"6,045",542 ,471 
"6,082",545 ,471 
"6,037",547 ,471 
"§,108",548 ,471 
"6,128",550 ,471 
"6,160",553 ,471 
"§,190",556 ,471 
"§,194",556 ,471 
"6,185",555 ,471 
"6,185",555 ,471 
"§,195",556 ,471 
"6,217",558 ,471 
"6,253",561 ,471 
6277,564 ,471 
"6,283",584 ,471 
"6,2391",585 ,471 
"6,308",586 ,471 
"§,334",589 ,471 
"6,370",572 ,471 
"6,397","57!

3

",471 
None,"57!

3

",471 
"6,394",574 ,471 
"6,391",574 ,471 
"6,407",575 ,471 
"6,438",578 ,471 
647,581 ,471 
"§,511",None,471 
"6,532",586 ,471 
"6,549",588 ,471 
"6,580",580 ,471 
"§,605",582 ,470 
"6,604",582 ,470 
"6,602",582 ,470 
None,583 ,470 
"6,646",595 ,470 
"6,677",598 ,470 
"6,630",599 ,470 
"6,686",598 ,470 
"6,684",598 ,470 
"6,698",599 ,469 
None,601 ,469 
"6,740",602 ,469 
None,602 ,469 
None,603 ,469 
None,604 ,468 
"6,823",608 ,468 
,610 ,467 
None,611 ,467 
"6,895",612 ,466 
"6,925",614 ,465 
"6,960",616 ,466 
,616 ,465 
"6,938",615 ,465 
"6,917",614 ,466 
"6,907",613 ,466 
"6,930",614 ,465 
"7,013",619 ,464 
"7,082",623 ,462 
"7,101",624 ,461 
"7,074",623 ,462 
"7,056",622 ,462 
"7,061",622 ,462 
"7,034",623 ,461 
None,625 ,460 
"7,118",625 ,460 
7115,625 ,461 
"7,124",625 ,460 
,626 ,460 
"7,194",628 ,458 
None,630 ,457 
"7,262",631 ,456 
"7,283",632 ,455 
None,632 ,455 
"7,261",631 ,456 
"7,248",630 ,456 
,631 ,456 
"7,284",632 ,455 
"7,339",634 ,453 
"7,375",635 ,452 
"7,383",636 ,452 
"7,373",635 ,452 
7383,635 ,452 
7421,637 ,450 
7464,638 ,449 
7472,638 ,448 
7448,638 ,443 
"7,422",637 ,450 
7Al,637 ,451 
,638 ,449 
"7,540",640 ,446 
"7,596",642 ,443 
"7,587",641 ,444 
"7,535",640 ,445 
T51,640 ,446 
"7,515",640 ,447 
"7,570",641 ,445 
"7,658",643 ,44i 
"7,702",644 ,439 
"7,675",643 ,439 
"7,643",643 ,441 
"7,634",642 ,442 
,643 ,441 
"7,681",643 ,440 
"7,683",643 ,439 
"7,685",643 ,439 
7714,644 ,438 
,645 ,436 
"7,803",646 ,434 
"7,816",646 ,433 
"7,793",646 ,434 
"7,785",645 ,435 
"7,785",645 ,435 
7788,645 ,435 
"7,795",645 ,434 
"7,818",646 ,434 
,646 ,432 
"7,918",647 ,429 
"7,962",648 ,427 
,647 ,427 
"7,928",647 ,428 
7924,647 ,429 
"7,926",647 ,428 
"7,927",647 ,428 
"7,928",647 ,428 
"7,931",647 ,428 
"7,970",648 ,427 
,648 ,423 
"8,109",649 ,420 
"8,031",649 ,421 
"8,051",648 ,422 
"8,033",648 ,423 
"8,031",648 ,424 
"8,036",648 ,423 
"8,046",648 ,423 
"8,057",648 ,422 
"8,116",649 ,420 
"8,172",649 ,417 
"8,188",649 ,416 
"8,185",649 ,416 
"8,201",643 ,415 
"8,218",649 ,415 
"8,204",649 ,415 
"8,183",649 ,416 
"8,170",649 ,417 
"8,193",649 ,416 
"8,230",649 ,414 
"8,235",649 ,413 
None,649 ,414 
"8,233",649 ,414 
"8,275",649 ,412 
"8,335",643 ,409 
None,649 ,409 
None,649 ,410 
"8,284",649 ,411 
"8,310",649 ,410 
"8,376",649 ,407 
"8,432",648 ,404 
"8,438",648 ,403 
"8,395",643 ,405 
"8,361",643 ,407 
"8,370",643 ,407 
8444,648 ,403 
"8,497",648 ,400 
None,648 ,401 
"8,438",648 ,403 
"8,433",648 ,403 
None,648 ,403 
"8,442",648 ,403 
"8,437",648 ,403 
"8,462",648 ,402 
"8,532",647 ,398 
"8,588",646 ,395 
"8,594",646 ,395 
"8,589",646 ,395 
"8,588",646 ,395 
"8,566",647 ,396 
"8,545",647 ,397 
"8,532",647 ,398 
,647 ,397 
"8,612",646 ,394 
"8,649",645 ,392 
"8,638",645 ,392 
"8,626",646 ,393 
,645 ,391 
None,644 ,388 
"8,656",644 ,389 
None,645 ,391 
"8,641",645 ,392 
,645 ,392 
"8,728",644 ,387 
"8,783",642 ,384 
"8,766",643 ,385 
"8,733",643 ,387 
"8,723",644 ,387 
"8,731",644 ,387 
"8,746",643 ,386 
"8,769",643 ,385 
"8,807",642 ,383 
"8,845",640 ,380 
None,642 ,381 
"8,787",642 ,383 
"8,763",643 ,385 
"8,776",643 ,384 
"8,846",641 ,380 
"8,896",639 ,377 
"8,906",639 ,376 
"8,910",639 ,376 
"8,905",639 ,376 
"8,875",640 ,378 
"8,860",640 ,379 
"8,881",640 ,378 
"8,915",638 ,376 
"8,904",639 ,376 
"8,903",639 ,377 
"8,938",638 ,375 
"8,982",636 ,372 
"8,975",636 ,372 
"8,943",637 ,374 
"8,932",638 ,375 
"8,936",638 ,375 
"8,980",636 ,372 
"9,042",634 ,368 
"9,082",632 ,365 
"9,063",633 ,366 
"9,028",634 ,368 
None,635 ,370 
"9,014",635 ,370 
"9,033",634 ,369 
"9,063",633 ,367 
"9,075",633 ,366 
"9,066",633 ,366 
"9,078",633 ,366 
"9,127",631 ,363 
,629 ,361 
None,630 ,362 
"9,100",632 ,364 
"9,033",632 ,366 
"9,107",632 ,364 
"9,120",631 ,363 
"9,124",631 ,363 
"9,131",630 ,362 
"9,130",630 ,362 
,630 ,361 
"9,213",627 ,357 
"9,037",None,None
"8,818",None,None
"9,042",634 ,368 
"9,106",632 ,364 
"9,146",630 ,362 
"9,177",629 ,359 
"9,184",628 ,359 
"9,184",628 ,359 
"9,199",628 ,358 
"9,213",627 ,357 
"9,237",626 ,356 
"8,980",None,None
None,None,None
"9,076",633 ,366 
"9,135",630 ,362 
,630 ,361 
"9,183",628 ,399 
"9,235",626 ,396 
"9,014",None,None
"8,847",None,None
"9,033",632 ,365 
